timestamp,tweet,username
Fri Oct 26 04:39:08 +0000 2018,"RT @asridana1: Ibu @TitiekSoeharto Peduli Gempa Tsunami dan Likuifaksi Palu Sigi Donggala

#BerkaryaPEDULI
#PartaiBerkarya https://t.co/NAE…",CendanaCenter
Fri Oct 26 04:38:47 +0000 2018,"@penikmatmilo aku butuh bangett:( hp aku rusak, mau beli tapi didaerah ku lagi kena musibah bencana alam yang besar… https://t.co/D039CVBcle",vlesstae
Fri Oct 26 04:35:29 +0000 2018,@AyongPrastetyo Mie Palu tsunami dong 😂,PutriArita
Fri Oct 26 04:34:20 +0000 2018,https://t.co/Mh02TJj1w1 https://t.co/CWWMWc6QdT,humaspoldagtlo
Fri Oct 26 04:33:04 +0000 2018,"Presiden Joko ""Jokowi"" Widodo tampaknya sudah geram dengan kabar-kabar hoax di media sosial tentang bencana gempa b… https://t.co/ZKJ0HEv23L",AzaliaIlyas
Fri Oct 26 04:32:41 +0000 2018,"RT @ACTforHumanity: Sahabat, berikut ini sejumlah kebutuhan yang sangat diperlukan oleh ratusan ribu pengungsi gempa dan tsunami di Palu -…",feieva
Fri Oct 26 04:32:28 +0000 2018,"RT @vivi_banseng: Mau #memetwit soal kondisi dan situasi gempa, tsunami, dan likuifaksi di palu, dari yang kemaren hingga saat ini.",miamey117
Fri Oct 26 04:32:03 +0000 2018,"Ibu @TitiekSoeharto Peduli Gempa Tsunami dan Likuifaksi Palu Sigi Donggala

#BerkaryaPEDULI
#PartaiBerkarya https://t.co/NAEP0iOktf",asridana1
Fri Oct 26 04:29:15 +0000 2018,"RT @MetroTVToday: Jumat, 19 Oktober 2018, President Director Shiseido Cosmetics Indonesia – Ayako Tokuyama menyerahkan dana bantuan untuk k…",Edwardtoni3
Fri Oct 26 04:28:19 +0000 2018,RT @MetroTVNewsRoom: Bencana alam gempa bumi dan tsunami yang terjadi di Palu-Donggala mengakibatkan kerusakan infrastruktur hingga korban…,Edwardtoni3
Fri Oct 26 04:27:45 +0000 2018,"RT @Ra_Ria_Rana: SAKSI HIDUP: tsunami Palu yg mnghncrkn Masjid &amp;mnghmpskn Pak Basrah mpe tngglm mbuat telinga,tngnn&amp;kaki bliau sobek.
Saat…",yasintaindi
Fri Oct 26 04:27:06 +0000 2018,RT @esriindonesia: Tim Esri Indonesia Emergency Spatial Support Centre (ESSC) membuat smart mapping portal untuk membantu upaya pemulihan b…,Christine_Vita
Fri Oct 26 04:25:37 +0000 2018,"RT @vivi_banseng: Mau #memetwit soal kondisi dan situasi gempa, tsunami, dan likuifaksi di palu, dari yang kemaren hingga saat ini.",Andin_____
Fri Oct 26 04:24:20 +0000 2018,"RT @MetroTVToday: Jumat, 19 Oktober 2018, President Director Shiseido Cosmetics Indonesia – Ayako Tokuyama menyerahkan dana bantuan untuk k…",elizabetlisa
Fri Oct 26 04:23:08 +0000 2018,RT @MetroTVNewsRoom: Bencana alam gempa bumi dan tsunami yang terjadi di Palu-Donggala mengakibatkan kerusakan infrastruktur hingga korban…,elizabetlisa
Fri Oct 26 04:20:20 +0000 2018,RT @MetroTVToday: Bencana alam gempa bumi dan tsunami yang terjadi di Palu-Donggala mengakibatkan kerusakan infrastruktur hingga korban jiw…,elizabetlisa
Fri Oct 26 04:19:11 +0000 2018,"RT @HafizChai: Nyo Sio Jak membawakan mosh dan pogo sambil beramal.

Tiket: RM10
Lokasi: Studio 3 Abdul, Atas Megabite, Aiman Mall, Kota Sa…",gloomyXbloomy
Fri Oct 26 04:18:51 +0000 2018,"RT @vivi_banseng: Mau #memetwit soal kondisi dan situasi gempa, tsunami, dan likuifaksi di palu, dari yang kemaren hingga saat ini.",ilmazidnaWTC
Fri Oct 26 04:17:52 +0000 2018,RT @MetroTVNewsRoom: Bencana alam gempa bumi dan tsunami yang terjadi di Palu-Donggala mengakibatkan kerusakan infrastruktur hingga korban…,KoDavid16
Fri Oct 26 04:16:55 +0000 2018,RT @esriindonesia: Tim Esri Indonesia Emergency Spatial Support Centre (ESSC) membuat smart mapping portal untuk membantu upaya pemulihan b…,Hart89431202
Fri Oct 26 04:15:52 +0000 2018,RT @MetroTVNewsRoom: Bencana alam gempa bumi dan tsunami yang terjadi di Palu-Donggala mengakibatkan kerusakan infrastruktur hingga korban…,ayuarsymel
Fri Oct 26 04:15:19 +0000 2018,"RT @vivi_banseng: Mau #memetwit soal kondisi dan situasi gempa, tsunami, dan likuifaksi di palu, dari yang kemaren hingga saat ini.",sinamrs
Fri Oct 26 04:14:55 +0000 2018,"RT @ArifBara_DKI: Relawan PKS masih ada dan siaga di lokasi bencana gempa dan tsunami di Palu, Donggala, Sigi dan sekitarnya https://t.co/r…",M10Syaf
Fri Oct 26 04:13:27 +0000 2018,RT @MetroTVNewsRoom: Bencana alam gempa bumi dan tsunami yang terjadi di Palu-Donggala mengakibatkan kerusakan infrastruktur hingga korban…,ArstiGina
Fri Oct 26 04:11:44 +0000 2018,"RT @MetroTVToday: Jumat, 19 Oktober 2018, President Director Shiseido Cosmetics Indonesia – Ayako Tokuyama menyerahkan dana bantuan untuk k…",ArstiGina
Fri Oct 26 04:10:06 +0000 2018,"RT @gammaraleather: Thousands of tsunami &amp; earthquake victims in Sulawesi have limited access to clean water, food, medicine &amp; shelter. By…",LeeMariana4
Fri Oct 26 04:09:48 +0000 2018,Korban Tsunami Palu asal Jatim Ditampung di Transito https://t.co/lFwSVlO4GN https://t.co/bsZXSFHwEq,Bisnissurabaya1
Fri Oct 26 04:09:42 +0000 2018,"Presiden Joko ""Jokowi"" Widodo tampaknya sudah geram dengan kabar-kabar hoax di media sosial tentang bencana gempa b… https://t.co/cnFBnpdwXa",EdyNuraini
Fri Oct 26 04:09:10 +0000 2018,"Pengungsi di Palu Utara Ketakutan Diteror Suara 'Hantu Pokpok', Ternyata Ini Yang Sebenarnya Terjadi

Warga menduga… https://t.co/9ozV06gUcw",ArtiSahabat__
