monthyear,theme,count
201612,NATURAL_DISASTER_WINTRY,111
201612,NATURAL_DISASTER_WINTER_STORM,26
201612,NATURAL_DISASTER_WILDFIRES,142
201612,NATURAL_DISASTER_WILDFIRE,122
201612,NATURAL_DISASTER_WATER_LEVEL,52
201612,NATURAL_DISASTER_VOLCANOES,3876
201612,NATURAL_DISASTER_VOLCANO,886
201612,NATURAL_DISASTER_VOLCANIC,2851
201612,NATURAL_DISASTER_TYPHOONS,51
201612,NATURAL_DISASTER_TYPHOON,487
201612,NATURAL_DISASTER_TWISTER,256
201612,NATURAL_DISASTER_TSUNAMIS,892
201612,NATURAL_DISASTER_TSUNAMI,14924
201612,NATURAL_DISASTER_TROPICAL_STORMS,13
201612,NATURAL_DISASTER_TROPICAL_STORM,255
201612,NATURAL_DISASTER_TROPICAL_CYCLONES,17
201612,NATURAL_DISASTER_TROPICAL_CYCLONE,75
201612,NATURAL_DISASTER_TREMORS,2168
201612,NATURAL_DISASTER_TREMOR,1565
201612,NATURAL_DISASTER_TORRENTIAL_RAINS,19
201612,NATURAL_DISASTER_TORRENTIAL_RAINFALL,183
201612,NATURAL_DISASTER_TORRENTIAL_RAIN,12
201612,NATURAL_DISASTER_TORNADOES,69
201612,NATURAL_DISASTER_TORNADO,143
201612,NATURAL_DISASTER_TIDAL_WAVES,474
201612,NATURAL_DISASTER_TIDAL_WAVE,461
201612,NATURAL_DISASTER_TEMBLORS,12
201612,NATURAL_DISASTER_TEMBLOR,371
201612,NATURAL_DISASTER_STRONG_WINDS,97
201612,NATURAL_DISASTER_STORM_SURGES,12
201612,NATURAL_DISASTER_SNOWSTORM,63
201612,NATURAL_DISASTER_SMOG,365
201612,NATURAL_DISASTER_SEVERE_WEATHER,54
201612,NATURAL_DISASTER_RICHTER_SCALE,3592
201612,NATURAL_DISASTER_PYROCLASTIC,23
201612,NATURAL_DISASTER_POWERFUL_STORMS,19
201612,NATURAL_DISASTER_NATURAL_DISASTERS,1958
201612,NATURAL_DISASTER_NATURAL_DISASTER,944
201612,NATURAL_DISASTER_MUDSLIDES,12
201612,NATURAL_DISASTER_MUDSLIDE,394
201612,NATURAL_DISASTER_MUDFLOWS,34
201612,NATURAL_DISASTER_MONSOON_RAINS,21
201612,NATURAL_DISASTER_MONSOON,130
201612,NATURAL_DISASTER_MAGMA,135
201612,NATURAL_DISASTER_LOCUST,26
201612,NATURAL_DISASTER_LAVA,249
201612,NATURAL_DISASTER_LANDSLIDES,1836
201612,NATURAL_DISASTER_LANDSLIDE,545
201612,NATURAL_DISASTER_INTENSE_RAINFALL,12
201612,NATURAL_DISASTER_ICY,74
201612,NATURAL_DISASTER_ICE,2609
201612,NATURAL_DISASTER_HYPOTHERMIA,105
201612,NATURAL_DISASTER_HURRICANES,118
201612,NATURAL_DISASTER_HURRICANE,971
201612,NATURAL_DISASTER_HIGH_WINDS,15
201612,NATURAL_DISASTER_HIGH_WATER,49
201612,NATURAL_DISASTER_HEAVY_SNOWFALL,12
201612,NATURAL_DISASTER_HEAVY_SNOW,20
201612,NATURAL_DISASTER_HEAVY_RAINS,166
201612,NATURAL_DISASTER_HEAVY_RAIN,200
201612,NATURAL_DISASTER_HEAT_WAVES,167
201612,NATURAL_DISASTER_HEAT_WAVE,34
201612,NATURAL_DISASTER_HEATWAVE,130
201612,NATURAL_DISASTER_FRIGID,41
201612,NATURAL_DISASTER_FREEZING_TEMPERATURES,13
201612,NATURAL_DISASTER_FOREST_FIRES,328
201612,NATURAL_DISASTER_FOREST_FIRE,44
201612,NATURAL_DISASTER_FLOOD_WATERS,13
201612,NATURAL_DISASTER_FLOODWATERS,24
201612,NATURAL_DISASTER_FLOODWATER,14
201612,NATURAL_DISASTER_FLOODS,967
201612,NATURAL_DISASTER_FLOODING,4321
201612,NATURAL_DISASTER_FLOODED,1907
201612,NATURAL_DISASTER_FLOOD,1711
201612,NATURAL_DISASTER_FLASH_FLOODS,229
201612,NATURAL_DISASTER_FLASH_FLOOD,17
201612,NATURAL_DISASTER_FAMINE,204
201612,NATURAL_DISASTER_EXTREME_WEATHER,391
201612,NATURAL_DISASTER_EXTREME_COLD,16
201612,NATURAL_DISASTER_ERUPTIONS,749
201612,NATURAL_DISASTER_ERUPTION,780
201612,NATURAL_DISASTER_EROSION,411
201612,NATURAL_DISASTER_EARTHQUAKES,6694
201612,NATURAL_DISASTER_EARTHQUAKE,29801
201612,NATURAL_DISASTER_DROWNING,637
201612,NATURAL_DISASTER_DROWNED,1018
201612,NATURAL_DISASTER_DROWN,70
201612,NATURAL_DISASTER_DROUGHTS,233
201612,NATURAL_DISASTER_DROUGHT,731
201612,NATURAL_DISASTER_DESERTIFICATION,18
201612,NATURAL_DISASTER_DEEP_FREEZE,88
201612,NATURAL_DISASTER_CYCLONES,34
201612,NATURAL_DISASTER_CYCLONE,304
201612,NATURAL_DISASTER_COLD_SNAP,21
201612,NATURAL_DISASTER_CHILL,156
201612,NATURAL_DISASTER_BUSH_FIRE,224
201612,NATURAL_DISASTER_BUSHFIRES,38
201612,NATURAL_DISASTER_BUSHFIRE,49
201612,NATURAL_DISASTER_BLIZZARD,55
201612,NATURAL_DISASTER_AVALANCHES,266
201612,NATURAL_DISASTER_AVALANCHE,115
201612,NATURAL_DISASTER_AFTERSHOCKS,3457
201612,NATURAL_DISASTER_AFTERSHOCK,2151
