monthyear,theme,count
201807,NATURAL_DISASTER_WILDFIRES,747
201807,NATURAL_DISASTER_WILDFIRE,890
201807,NATURAL_DISASTER_WATER_LEVEL,59
201807,NATURAL_DISASTER_VOLCANOES,2791
201807,NATURAL_DISASTER_VOLCANO,4255
201807,NATURAL_DISASTER_VOLCANIC,3389
201807,NATURAL_DISASTER_VIOLENT_STORM,11
201807,NATURAL_DISASTER_TYPHOONS,79
201807,NATURAL_DISASTER_TYPHOON,311
201807,NATURAL_DISASTER_TWISTER,62
201807,NATURAL_DISASTER_TSUNAMIS,237
201807,NATURAL_DISASTER_TSUNAMI,3840
201807,NATURAL_DISASTER_TROPICAL_STORMS,66
201807,NATURAL_DISASTER_TROPICAL_STORM,115
201807,NATURAL_DISASTER_TROPICAL_CYCLONES,32
201807,NATURAL_DISASTER_TROPICAL_CYCLONE,38
201807,NATURAL_DISASTER_TREMORS,979
201807,NATURAL_DISASTER_TREMOR,1064
201807,NATURAL_DISASTER_TORRENTIAL_RAINS,24
201807,NATURAL_DISASTER_TORRENTIAL_RAINFALL,23
201807,NATURAL_DISASTER_TORRENTIAL_RAIN,77
201807,NATURAL_DISASTER_TORNADOES,60
201807,NATURAL_DISASTER_TORNADO,90
201807,NATURAL_DISASTER_TIDAL_WAVES,36
201807,NATURAL_DISASTER_TIDAL_WAVE,87
201807,NATURAL_DISASTER_TEMBLORS,12
201807,NATURAL_DISASTER_TEMBLOR,107
201807,NATURAL_DISASTER_STRONG_WINDS,411
201807,NATURAL_DISASTER_SMOG,75
201807,NATURAL_DISASTER_SEVERE_WEATHER,136
201807,NATURAL_DISASTER_RICHTER_SCALE,1267
201807,NATURAL_DISASTER_PYROCLASTIC,28
201807,NATURAL_DISASTER_POWERFUL_STORMS,11
201807,NATURAL_DISASTER_POWERFUL_STORM,18
201807,NATURAL_DISASTER_NATURAL_DISASTERS,381
201807,NATURAL_DISASTER_NATURAL_DISASTER,220
201807,NATURAL_DISASTER_MUDSLIDES,66
201807,NATURAL_DISASTER_MUDSLIDE,228
201807,NATURAL_DISASTER_MONSOON_RAINS,51
201807,NATURAL_DISASTER_MONSOON_RAIN,21
201807,NATURAL_DISASTER_MONSOON,489
201807,NATURAL_DISASTER_MAGMA,282
201807,NATURAL_DISASTER_LOCUSTS,18
201807,NATURAL_DISASTER_LAVA,1287
201807,NATURAL_DISASTER_LANDSLIDES,3784
201807,NATURAL_DISASTER_LANDSLIDE,1922
201807,NATURAL_DISASTER_INTENSE_RAINFALL,17
201807,NATURAL_DISASTER_ICY,35
201807,NATURAL_DISASTER_ICE,1864
201807,NATURAL_DISASTER_HYPOTHERMIA,31
201807,NATURAL_DISASTER_HURRICANES,92
201807,NATURAL_DISASTER_HURRICANE,405
201807,NATURAL_DISASTER_HIGH_WINDS,193
201807,NATURAL_DISASTER_HIGH_WIND,11
201807,NATURAL_DISASTER_HIGH_WATER,45
201807,NATURAL_DISASTER_HEAVY_WINDS,114
201807,NATURAL_DISASTER_HEAVY_RAINS,180
201807,NATURAL_DISASTER_HEAVY_RAIN,300
201807,NATURAL_DISASTER_HEAT_WAVES,51
201807,NATURAL_DISASTER_HEAT_WAVE,477
201807,NATURAL_DISASTER_HEATWAVES,129
201807,NATURAL_DISASTER_HEATWAVE,266
201807,NATURAL_DISASTER_FOREST_FIRES,246
201807,NATURAL_DISASTER_FOREST_FIRE,60
201807,NATURAL_DISASTER_FOREST_BURNED,38
201807,NATURAL_DISASTER_FLOOD_WATERS,12
201807,NATURAL_DISASTER_FLOODWATERS,50
201807,NATURAL_DISASTER_FLOODS,1125
201807,NATURAL_DISASTER_FLOODING,1956
201807,NATURAL_DISASTER_FLOODED_ROAD,50
201807,NATURAL_DISASTER_FLOODED,1122
201807,NATURAL_DISASTER_FLOOD,640
201807,NATURAL_DISASTER_FLASH_FLOODS,124
201807,NATURAL_DISASTER_FAMINE,438
201807,NATURAL_DISASTER_EXTREME_WEATHER,361
201807,NATURAL_DISASTER_EXTREME_COLD,25
201807,NATURAL_DISASTER_ERUPTIONS,773
201807,NATURAL_DISASTER_ERUPTION,2842
201807,NATURAL_DISASTER_EROSION,335
201807,NATURAL_DISASTER_EARTHQUAKES,3490
201807,NATURAL_DISASTER_EARTHQUAKE,12232
201807,NATURAL_DISASTER_DROWNS,34
201807,NATURAL_DISASTER_DROWNING,362
201807,NATURAL_DISASTER_DROWNED,1372
201807,NATURAL_DISASTER_DROWN,46
201807,NATURAL_DISASTER_DROUGHTS,53
201807,NATURAL_DISASTER_DROUGHT,1510
201807,NATURAL_DISASTER_DESERTIFICATION,13
201807,NATURAL_DISASTER_CYCLONES,52
201807,NATURAL_DISASTER_CYCLONE,383
201807,NATURAL_DISASTER_CHILL,114
201807,NATURAL_DISASTER_BUSH_FIRE,1055
201807,NATURAL_DISASTER_BUSHFIRES,93
201807,NATURAL_DISASTER_BUSHFIRE,47
201807,NATURAL_DISASTER_BRUSH_FIRE,12
201807,NATURAL_DISASTER_BLIZZARD,14
201807,NATURAL_DISASTER_AVALANCHES,367
201807,NATURAL_DISASTER_AVALANCHE,105
201807,NATURAL_DISASTER_AFTERSHOCKS,2108
201807,NATURAL_DISASTER_AFTERSHOCK,1325
