monthyear,theme,count
201510,NATURAL_DISASTER_WINTRY,144
201510,NATURAL_DISASTER_WILDFIRES,579
201510,NATURAL_DISASTER_WILDFIRE,411
201510,NATURAL_DISASTER_WATER_LEVEL,51
201510,NATURAL_DISASTER_VOLCANOES,412
201510,NATURAL_DISASTER_VOLCANO,589
201510,NATURAL_DISASTER_VOLCANIC,1069
201510,NATURAL_DISASTER_VIOLENT_STORM,13
201510,NATURAL_DISASTER_TYPHOONS,107
201510,NATURAL_DISASTER_TYPHOON,655
201510,NATURAL_DISASTER_TWISTER,65
201510,NATURAL_DISASTER_TSUNAMIS,83
201510,NATURAL_DISASTER_TSUNAMI,1210
201510,NATURAL_DISASTER_TROPICAL_STORMS,73
201510,NATURAL_DISASTER_TROPICAL_STORM,113
201510,NATURAL_DISASTER_TROPICAL_CYCLONES,63
201510,NATURAL_DISASTER_TROPICAL_CYCLONE,99
201510,NATURAL_DISASTER_TREMORS,107
201510,NATURAL_DISASTER_TREMOR,40
201510,NATURAL_DISASTER_TORRENTIAL_RAINS,36
201510,NATURAL_DISASTER_TORRENTIAL_RAINFALL,48
201510,NATURAL_DISASTER_TORRENTIAL_RAIN,74
201510,NATURAL_DISASTER_TORNADOES,43
201510,NATURAL_DISASTER_TORNADO,29
201510,NATURAL_DISASTER_TIDAL_WAVES,13
201510,NATURAL_DISASTER_TIDAL_WAVE,67
201510,NATURAL_DISASTER_TEMBLOR,95
201510,NATURAL_DISASTER_SUSTAINED_WINDS,29
201510,NATURAL_DISASTER_STRONG_WINDS,147
201510,NATURAL_DISASTER_STORM_SURGES,57
201510,NATURAL_DISASTER_STORM_SURGE,38
201510,NATURAL_DISASTER_SNOWSTORMS,12
201510,NATURAL_DISASTER_SMOG,1920
201510,NATURAL_DISASTER_SEVERE_WEATHER,55
201510,NATURAL_DISASTER_RICHTER_SCALE,169
201510,NATURAL_DISASTER_PYROCLASTIC,19
201510,NATURAL_DISASTER_POWERFUL_STORMS,18
201510,NATURAL_DISASTER_NATURAL_DISASTERS,1230
201510,NATURAL_DISASTER_NATURAL_DISASTER,1025
201510,NATURAL_DISASTER_MUDSLIDES,30
201510,NATURAL_DISASTER_MUDSLIDE,99
201510,NATURAL_DISASTER_MUDFLOW,40
201510,NATURAL_DISASTER_MONSOON_RAINS,145
201510,NATURAL_DISASTER_MONSOON,986
201510,NATURAL_DISASTER_MAGMA,52
201510,NATURAL_DISASTER_LAVA,203
201510,NATURAL_DISASTER_LANDSLIDES,607
201510,NATURAL_DISASTER_LANDSLIDE,358
201510,NATURAL_DISASTER_ICY,36
201510,NATURAL_DISASTER_ICE,1644
201510,NATURAL_DISASTER_HYPOTHERMIA,33
201510,NATURAL_DISASTER_HURRICANES,111
201510,NATURAL_DISASTER_HURRICANE,381
201510,NATURAL_DISASTER_HIGH_WINDS,177
201510,NATURAL_DISASTER_HIGH_WATER,31
201510,NATURAL_DISASTER_HEAVY_RAINS,227
201510,NATURAL_DISASTER_HEAVY_RAIN,217
201510,NATURAL_DISASTER_HEAT_WAVES,35
201510,NATURAL_DISASTER_HEAT_WAVE,79
201510,NATURAL_DISASTER_HEATWAVES,128
201510,NATURAL_DISASTER_HEATWAVE,145
201510,NATURAL_DISASTER_FREEZING_TEMPERATURES,12
201510,NATURAL_DISASTER_FOREST_FIRES,6050
201510,NATURAL_DISASTER_FOREST_FIRE,1138
201510,NATURAL_DISASTER_FOREST_BURNED,135
201510,NATURAL_DISASTER_FLOOD_WATER,11
201510,NATURAL_DISASTER_FLOODWATERS,36
201510,NATURAL_DISASTER_FLOODS,727
201510,NATURAL_DISASTER_FLOODING,1383
201510,NATURAL_DISASTER_FLOODED_ROADS,17
201510,NATURAL_DISASTER_FLOODED,757
201510,NATURAL_DISASTER_FLOOD,904
201510,NATURAL_DISASTER_FLASH_FLOODS,37
201510,NATURAL_DISASTER_FAMINE,353
201510,NATURAL_DISASTER_EXTREME_WEATHER,321
201510,NATURAL_DISASTER_EXTREME_COLD,201
201510,NATURAL_DISASTER_ERUPTIONS,177
201510,NATURAL_DISASTER_ERUPTION,475
201510,NATURAL_DISASTER_EROSION,256
201510,NATURAL_DISASTER_EARTHQUAKES,686
201510,NATURAL_DISASTER_EARTHQUAKE,1598
201510,NATURAL_DISASTER_DROWNING,167
201510,NATURAL_DISASTER_DROWNED,542
201510,NATURAL_DISASTER_DROWN,106
201510,NATURAL_DISASTER_DROUGHTS,294
201510,NATURAL_DISASTER_DROUGHT,3462
201510,NATURAL_DISASTER_DESERTIFICATION,34
201510,NATURAL_DISASTER_CYCLONES,134
201510,NATURAL_DISASTER_CYCLONE,240
201510,NATURAL_DISASTER_CHILL,108
201510,NATURAL_DISASTER_BUSH_FIRES,23
201510,NATURAL_DISASTER_BUSH_FIRE,5134
201510,NATURAL_DISASTER_BUSHFIRES,191
201510,NATURAL_DISASTER_BUSHFIRE,430
201510,NATURAL_DISASTER_BRUSH_FIRE,13
201510,NATURAL_DISASTER_BLIZZARD,24
201510,NATURAL_DISASTER_AVALANCHES,110
201510,NATURAL_DISASTER_AVALANCHE,111
201510,NATURAL_DISASTER_AFTERSHOCKS,32
201510,NATURAL_DISASTER_AFTERSHOCK,63
