monthyear,theme,count
201708,NATURAL_DISASTER_WILDFIRES,81
201708,NATURAL_DISASTER_WILDFIRE,58
201708,NATURAL_DISASTER_WATER_LEVEL,29
201708,NATURAL_DISASTER_VOLCANOES,444
201708,NATURAL_DISASTER_VOLCANO,1069
201708,NATURAL_DISASTER_VOLCANIC,1125
201708,NATURAL_DISASTER_VIOLENT_STORMS,13
201708,NATURAL_DISASTER_TYPHOONS,36
201708,NATURAL_DISASTER_TYPHOON,189
201708,NATURAL_DISASTER_TWISTER,56
201708,NATURAL_DISASTER_TSUNAMIS,184
201708,NATURAL_DISASTER_TSUNAMI,1490
201708,NATURAL_DISASTER_TROPICAL_STORM,216
201708,NATURAL_DISASTER_TROPICAL_CYCLONES,12
201708,NATURAL_DISASTER_TROPICAL_CYCLONE,85
201708,NATURAL_DISASTER_TREMORS,253
201708,NATURAL_DISASTER_TREMOR,58
201708,NATURAL_DISASTER_TORRENTIAL_RAIN,20
201708,NATURAL_DISASTER_TORNADOES,11
201708,NATURAL_DISASTER_TORNADO,44
201708,NATURAL_DISASTER_TIDAL_WAVES,91
201708,NATURAL_DISASTER_TIDAL_WAVE,40
201708,NATURAL_DISASTER_TEMBLOR,56
201708,NATURAL_DISASTER_STRONG_WINDS,38
201708,NATURAL_DISASTER_STORM_SURGES,12
201708,NATURAL_DISASTER_STORM_SURGE,11
201708,NATURAL_DISASTER_SMOG,59
201708,NATURAL_DISASTER_SEVERE_WEATHER,19
201708,NATURAL_DISASTER_RICHTER_SCALE,338
201708,NATURAL_DISASTER_PYROCLASTIC,23
201708,NATURAL_DISASTER_POWERFUL_STORMS,12
201708,NATURAL_DISASTER_POWERFUL_STORM,30
201708,NATURAL_DISASTER_NATURAL_DISASTERS,225
201708,NATURAL_DISASTER_NATURAL_DISASTER,107
201708,NATURAL_DISASTER_MUDSLIDES,24
201708,NATURAL_DISASTER_MUDSLIDE,116
201708,NATURAL_DISASTER_MONSOON_RAINS,40
201708,NATURAL_DISASTER_MONSOON,211
201708,NATURAL_DISASTER_MAGMA,69
201708,NATURAL_DISASTER_LAVA,415
201708,NATURAL_DISASTER_LANDSLIDES,440
201708,NATURAL_DISASTER_LANDSLIDE,167
201708,NATURAL_DISASTER_INTENSE_RAINFALL,18
201708,NATURAL_DISASTER_ICY,44
201708,NATURAL_DISASTER_ICE,1837
201708,NATURAL_DISASTER_HYPOTHERMIA,26
201708,NATURAL_DISASTER_HURRICANES,83
201708,NATURAL_DISASTER_HURRICANE,690
201708,NATURAL_DISASTER_HIGH_WATER,40
201708,NATURAL_DISASTER_HEAVY_RAINS,159
201708,NATURAL_DISASTER_HEAVY_RAIN,120
201708,NATURAL_DISASTER_HEAT_WAVE,73
201708,NATURAL_DISASTER_HEATWAVES,33
201708,NATURAL_DISASTER_HEATWAVE,35
201708,NATURAL_DISASTER_FRIGID,11
201708,NATURAL_DISASTER_FOREST_FIRES,375
201708,NATURAL_DISASTER_FOREST_FIRE,114
201708,NATURAL_DISASTER_FOREST_BURNED,15
201708,NATURAL_DISASTER_FLOODWATERS,37
201708,NATURAL_DISASTER_FLOODS,637
201708,NATURAL_DISASTER_FLOODING,3866
201708,NATURAL_DISASTER_FLOODED_AREAS,171
201708,NATURAL_DISASTER_FLOODED,3075
201708,NATURAL_DISASTER_FLOOD,649
201708,NATURAL_DISASTER_FLASH_FLOODS,130
201708,NATURAL_DISASTER_FLASH_FLOOD,12
201708,NATURAL_DISASTER_FAMINE,155
201708,NATURAL_DISASTER_EXTREME_WEATHER,170
201708,NATURAL_DISASTER_ERUPTIONS,447
201708,NATURAL_DISASTER_ERUPTION,776
201708,NATURAL_DISASTER_EROSION,243
201708,NATURAL_DISASTER_EARTHQUAKES,551
201708,NATURAL_DISASTER_EARTHQUAKE,2490
201708,NATURAL_DISASTER_DROWNING,115
201708,NATURAL_DISASTER_DROWNED,515
201708,NATURAL_DISASTER_DROWN,32
201708,NATURAL_DISASTER_DROUGHTS,46
201708,NATURAL_DISASTER_DROUGHT,1149
201708,NATURAL_DISASTER_DESERTIFICATION,24
201708,NATURAL_DISASTER_CYCLONES,24
201708,NATURAL_DISASTER_CYCLONE,406
201708,NATURAL_DISASTER_COMET_IMPACT,20
201708,NATURAL_DISASTER_CHILL,75
201708,NATURAL_DISASTER_BUSH_FIRE,655
201708,NATURAL_DISASTER_BUSHFIRES,16
201708,NATURAL_DISASTER_BUSHFIRE,49
201708,NATURAL_DISASTER_BLIZZARD,18
201708,NATURAL_DISASTER_AVALANCHES,131
201708,NATURAL_DISASTER_AVALANCHE,53
201708,NATURAL_DISASTER_ASTEROID_IMPACT,23
201708,NATURAL_DISASTER_AFTERSHOCKS,27
201708,NATURAL_DISASTER_AFTERSHOCK,43
