Identitas,KodeProv,Provinsi,KodeKab,KabKota,KodeKat,Kategori,Namakejadian,Tanggal,Bulan,Tahun,Meninggal,Lukaluka,Hilang,Terdampak,Mengungsi,RumahRusakBerat,RumahRusakSedang,RumahRusakRingan,Kesehatan,Peribadatan,Pendidikan
1111105200907221,11,Aceh,1111,Aceh Utara,105,Puting Beliung,Puting Beliung,22,7,2009,,2,1,0,0,12,,15,,,
1109201200907221,11,Aceh,1109,Pidie,201,Kebakaran,Kebakaran,22,7,2009,,0,,0,0,2,,,,,
6309201200907211,63,Kalimantan Selatan,6309,Tabalong,201,Kebakaran,Kebakaran,21,7,2009,,0,,0,12,3,,,,,
6472201200907211,64,Kalimantan Timur,6472,Kota Samarinda,201,Kebakaran,Kebakaran,21,7,2009,,0,,0,0,,,,,,
1111201200907211,11,Aceh,1111,Aceh Utara,201,Kebakaran,Kebakaran,21,7,2009,,0,,0,0,,,,,,
1171201200907201,11,Aceh,1171,kota Banda Aceh,201,Kebakaran,Kebakaran,20,7,2009,,0,,0,0,,,,,,
6301102200907201,63,Kalimantan Selatan,6301,Tanah Laut,102,Tanah Longsor,Tanah Longsor,20,7,2009,,0,,0,0,3,,,,,
3471201200907191,34,DI Yogyakarta,3471,Kota Yogyakarta,201,Kebakaran,Kebakaran,19,7,2009,,0,,0,0,,,,,,
6502201200907191,65,kalimantan utara,6502,Bulungan,201,Kebakaran,Kebakaran,19,7,2009,2,0,,0,0,1,,,,,
1109201200907191,11,Aceh,1109,Pidie,201,Kebakaran,Kebakaran,19,7,2009,,0,,0,0,1,,,,,
3307201200907181,33,Jawa Tengah,3307,Wonosobo,201,Kebakaran,Kebakaran,18,7,2009,,0,,0,0,1,,,,,
