"MonthYear","EventRootCode","QuadClass","CountEvent","Intensity","SumNumArticles","RerataAvgTone","CountEventNegativeTone","CountEventPositiveTone","SumNumNegativeArticle","SumNumPositiveArticle"
"200512","01","1","535","18.752","2257","4.86383","0","535","0","2257"
"200601","01","1","508","17.041","565","4.28332","1","507","2","563"
"200602","01","1","479","14.289","679","4.41902","0","479","0","679"
"200603","01","1","675","14.312","1411","4.85109","0","675","0","1411"
"200604","01","1","616","16.51","1263","4.62225","2","614","16","1247"
"200605","01","1","1197","17.538","4621","4.33961","2","1195","13","4608"
"200606","01","1","960","15.569","2660","4.68753","2","958","15","2645"
"200607","01","1","671","17.492","1865","3.99902","0","671","0","1865"
"200608","01","1","757","16.762","2314","4.82259","0","757","0","2314"
"200609","01","1","924","18.304","2851","4.56652","0","924","0","2851"
"200610","01","1","481","14.056","1022","4.76615","0","481","0","1022"
"200611","01","1","653","12.526","1962","4.92713","0","653","0","1962"
"200612","01","1","781","20.264","2641","4.76084","0","781","0","2641"
"200701","01","1","1463","22.156","4361","3.89854","0","1463","0","4361"
"200702","01","1","1075","18.388","3695","4.41327","0","1075","0","3695"
"200703","01","1","1603","20.691","5342","4.31218","0","1603","0","5342"
"200704","01","1","1478","16.532","6009","4.6916","0","1478","0","6009"
"200705","01","1","1337","15.952","4665","4.67797","0","1337","0","4665"
"200706","01","1","1462","15.556","5090","4.63239","0","1462","0","5090"
"200707","01","1","1112","14.606","3828","4.98348","0","1112","0","3828"
"200708","01","1","859","15.741","3307","4.87262","0","859","0","3307"
"200709","01","1","1278","17.106","5565","4.58184","0","1278","0","5565"
"200710","01","1","1200","15.12","5428","5.00722","1","1199","10","5418"
"200711","01","1","1293","17.639","5243","4.49489","0","1293","0","5243"
"200712","01","1","1263","16.878","5270","4.75992","0","1263","0","5270"
"200801","01","1","1780","18.603","9544","5.02904","0","1780","0","9544"
"200802","01","1","1425","17.774","6526","4.34182","0","1425","0","6526"
"200803","01","1","942","17.499","3507","4.95875","0","942","0","3507"
"200804","01","1","1058","15.022","4362","5.01046","0","1058","0","4362"
"200805","01","1","887","15.332","3645","5.03362","0","887","0","3645"
"200806","01","1","1187","16.435","5641","4.68886","0","1187","0","5641"
"200807","01","1","1176","16.351","5465","4.82443","0","1176","0","5465"
"200808","01","1","904","16.992","3757","4.95401","2","902","6","3751"
"200809","01","1","1027","17.789","3992","4.65562","1","1026","3","3989"
"200810","01","1","1273","15.912","5900","4.87626","0","1273","0","5900"
"200811","01","1","1559","16.478","7451","4.68802","0","1559","0","7451"
"200812","01","1","1397","15.927","6231","5.42918","0","1397","0","6231"
"200901","01","1","2560","16.692","16427","4.51496","0","2560","0","16427"
"200902","01","1","2167","14.814","11293","4.91255","0","2167","0","11293"
"200903","01","1","1971","16.291","9098","5.06613","0","1971","0","9098"
"200904","01","1","2017","15.911","10441","5.02794","0","2017","0","10441"
"200905","01","1","2031","16.264","10917","4.64264","0","2031","0","10917"
"200906","01","1","1632","15.97","7542","4.91176","0","1632","0","7542"
"200907","01","1","2181","17.554","12931","4.49495","0","2181","0","12931"
"200908","01","1","2961","17.564","19597","4.46422","0","2961","0","19597"
"200909","01","1","2798","16.635","20157","4.24536","0","2798","0","20157"
"200910","01","1","3879","17.823","33158","5.03773","0","3879","0","33158"
"200911","01","1","2305","16.471","14429","4.75706","0","2305","0","14429"
"200912","01","1","2575","16.667","15841","4.69968","0","2575","0","15841"
"201001","01","1","2240","16.83","12338","4.89111","0","2240","0","12338"
"201002","01","1","2118","15.564","13191","5.01259","0","2118","0","13191"
"201003","01","1","870","13.124","4786","5.00707","0","870","0","4786"
"201004","01","1","1418","17.238","8978","4.49013","0","1418","0","8978"
