MonthYear,EventRootCode,AvgToneByEventRootCode,SumNumArticles
201811,13,-1.6028642898098922,274
201811,18,-5.4338434690798039,501
201811,02,-1.3011045368462826,2012
201811,04,-0.7067134373207381,9381
201811,08,-1.3908836660141217,987
201811,14,-4.5750763252033906,382
201811,19,-4.6617720584984781,980
201811,17,-3.7892870217879011,1432
201811,15,-2.89205269541057,49
201811,10,-3.7390829063959719,202
201811,01,-1.5363684750922533,4372
201811,07,-1.6358037416400226,1996
201811,09,-2.8759143433837728,2522
201811,12,-2.2313756921692907,564
201811,16,-4.1855269536724515,177
201811,11,-3.4758966478757363,1690
201811,03,0.37714283245418045,2589
201811,06,-0.38461008202203956,853
201811,05,1.6336177362267306,3010
201810,05,1.5741612413509853,19927
201810,03,-0.4536202132128847,18027
201810,04,-0.34868186157053993,71316
201810,01,-1.8598873905924296,31766
201810,12,-2.59382311899083,5299
201810,17,-4.4103143912552722,7056
201810,08,-0.99604185919195487,6308
201810,16,-2.9556878786448113,1383
201810,20,-0.53000842200367282,16
201810,02,-1.3765610838959572,17147
201810,06,-0.36162666428440859,6602
201810,19,-4.5771897392138925,6868
201810,18,-5.6516351181304989,2546
201810,11,-2.6671564992071208,9841
201810,07,-1.3787204033231186,15911
201810,13,-2.0708778529305918,3238
201810,15,-1.7300351924017856,447
201810,10,-2.5120661241746975,1656
201810,14,-3.7894713047891297,3069
201810,09,-2.7304206429918234,9787
201809,15,-1.216196141836912,330
201809,12,-1.797358606568638,4128
201809,13,-1.9123776974296673,2064
201809,01,-0.83074249345930851,22485
201809,19,-4.6362993218070709,5390
201809,10,-2.2128370110662159,1236
201809,02,-0.53173616802930823,11620
201809,08,-0.90291197409971757,4784
201809,03,1.1656967647587855,13162
201809,07,-0.44300209418464587,8015
201809,20,-2.04125138735511,22
201809,09,-2.1049228188682121,4955
201809,14,-1.8633755074846496,1002
201809,04,0.55481738718415574,48927
201809,11,-2.1035757232091581,7555
201809,06,0.281133400216449,4450
201809,05,2.5615848245157822,17356
201809,16,-1.6493460198105958,712
201809,18,-5.2620011408481382,1745
201809,17,-4.8255474991520044,7101
201808,07,-0.9380103796456315,9537
201808,14,-2.451277271632855,724
201808,08,-1.2064941982045088,7407
201808,12,-1.7386973616985786,4378
201808,16,-3.5163555128722868,1135
201808,03,0.82371476337941441,12922
201808,06,-0.38787686945446892,4734
201808,10,-1.2487260790836341,1195
201808,01,-1.1242141527502911,27498
201808,18,-5.6042700774148591,2119
201808,17,-5.3328527081823145,9933
201808,19,-4.5549126676452,7397
201808,09,-1.7606196668000074,5316
201808,20,-3.3374281427557317,28
201808,13,-1.0523888503721919,2507
201808,04,0.19103815545646363,50430
201808,15,-3.1433208213605619,347
201808,05,2.1567241638758654,18782
201808,02,-0.84419203026270606,13249
201808,11,-2.7251938281290076,10284
201807,03,0.78606387158559121,12512
201807,08,-0.91850147084134626,5436
201807,19,-5.9609611628645469,7768
201807,14,-2.6430441105462013,547
201807,12,-1.6096033221760142,3905
201807,10,-1.8187065811616607,1131
201807,18,-6.2581714606830223,2423
201807,09,-2.7247382604010237,6309
201807,01,-0.82921297129528482,21814
